start_time,end_time,duration_hours,sleep_stage
2026-01-11 03:21:48 -0800,2026-01-11 03:35:45 -0800,0.2325,Deep Sleep
2026-01-11 03:35:45 -0800,2026-01-11 03:55:41 -0800,0.3322,Core Sleep
2026-01-11 03:55:41 -0800,2026-01-11 04:21:06 -0800,0.4236,REM Sleep
2026-01-11 04:21:06 -0800,2026-01-11 05:11:26 -0800,0.8389,Core Sleep
2026-01-11 05:11:26 -0800,2026-01-11 05:20:54 -0800,0.1578,Deep Sleep
2026-01-11 05:20:54 -0800,2026-01-11 05:41:20 -0800,0.3406,Core Sleep
2026-01-11 05:41:20 -0800,2026-01-11 05:52:48 -0800,0.1911,REM Sleep
2026-01-11 05:52:48 -0800,2026-01-11 06:57:05 -0800,1.0714,Core Sleep
2026-01-11 06:57:05 -0800,2026-01-11 07:30:29 -0800,0.5567,REM Sleep
2026-01-11 07:30:29 -0800,2026-01-11 07:30:59 -0800,0.0083,Awake
2026-01-11 07:30:59 -0800,2026-01-11 07:47:56 -0800,0.2825,Core Sleep
2026-01-11 07:47:56 -0800,2026-01-11 07:48:55 -0800,0.0164,Awake
2026-01-11 07:48:55 -0800,2026-01-11 07:54:24 -0800,0.0914,Core Sleep
2026-01-12 00:37:15 -0800,2026-01-12 01:01:40 -0800,0.4069,Core Sleep
2026-01-12 01:01:40 -0800,2026-01-12 01:06:09 -0800,0.0747,Deep Sleep
2026-01-12 01:06:09 -0800,2026-01-12 01:07:09 -0800,0.0167,Awake
2026-01-12 01:07:09 -0800,2026-01-12 01:21:36 -0800,0.2408,Core Sleep
2026-01-12 01:21:36 -0800,2026-01-12 01:23:36 -0800,0.0333,Deep Sleep
2026-01-12 01:23:36 -0800,2026-01-12 01:24:36 -0800,0.0167,Core Sleep
2026-01-12 01:24:36 -0800,2026-01-12 01:28:35 -0800,0.0664,Deep Sleep
2026-01-12 01:28:35 -0800,2026-01-12 01:30:34 -0800,0.0331,Awake
2026-01-12 01:30:34 -0800,2026-01-12 02:15:55 -0800,0.7558,Core Sleep
2026-01-12 02:15:55 -0800,2026-01-12 02:24:24 -0800,0.1414,Deep Sleep
2026-01-12 02:24:24 -0800,2026-01-12 02:55:18 -0800,0.5150,Core Sleep
2026-01-12 02:55:18 -0800,2026-01-12 03:00:46 -0800,0.0911,Deep Sleep
2026-01-12 03:00:46 -0800,2026-01-12 03:04:46 -0800,0.0667,Core Sleep
2026-01-12 03:04:46 -0800,2026-01-12 03:13:44 -0800,0.1494,REM Sleep
2026-01-12 03:13:44 -0800,2026-01-12 03:16:43 -0800,0.0497,Awake
2026-01-12 03:16:43 -0800,2026-01-12 03:19:43 -0800,0.0500,Core Sleep
2026-01-12 03:19:43 -0800,2026-01-12 03:23:42 -0800,0.0664,REM Sleep
2026-01-12 03:23:42 -0800,2026-01-12 03:55:06 -0800,0.5233,Core Sleep
2026-01-12 03:55:06 -0800,2026-01-12 04:00:34 -0800,0.0911,Deep Sleep
2026-01-12 04:00:34 -0800,2026-01-12 04:09:33 -0800,0.1497,Core Sleep
2026-01-12 04:09:33 -0800,2026-01-12 04:12:02 -0800,0.0414,Awake
2026-01-12 04:12:02 -0800,2026-01-12 04:18:31 -0800,0.1081,Core Sleep
2026-01-12 04:18:31 -0800,2026-01-12 04:20:31 -0800,0.0333,Awake
2026-01-12 04:20:31 -0800,2026-01-12 05:02:52 -0800,0.7058,Core Sleep
2026-01-12 05:02:52 -0800,2026-01-12 05:03:22 -0800,0.0083,Awake
2026-01-12 05:03:22 -0800,2026-01-12 05:05:22 -0800,0.0333,Core Sleep
2026-01-12 05:05:22 -0800,2026-01-12 05:28:17 -0800,0.3819,REM Sleep
2026-01-12 05:28:17 -0800,2026-01-12 05:36:16 -0800,0.1331,Awake
2026-01-12 05:36:16 -0800,2026-01-12 06:28:35 -0800,0.8719,Core Sleep
2026-01-12 06:28:35 -0800,2026-01-12 07:16:25 -0800,0.7972,REM Sleep
2026-01-12 07:16:25 -0800,2026-01-12 07:17:55 -0800,0.0250,Awake
2026-01-12 07:17:55 -0800,2026-01-12 07:59:47 -0800,0.6978,Core Sleep
2026-01-12 07:59:47 -0800,2026-01-12 08:01:17 -0800,0.0250,Awake
2026-01-12 08:01:17 -0800,2026-01-12 08:08:45 -0800,0.1244,Core Sleep
2026-01-12 08:08:45 -0800,2026-01-12 08:11:15 -0800,0.0417,Awake
2026-01-12 08:11:15 -0800,2026-01-12 08:17:13 -0800,0.0994,Core Sleep
2026-01-12 08:17:13 -0800,2026-01-12 08:21:43 -0800,0.0750,Awake
2026-01-12 08:21:43 -0800,2026-01-12 08:26:12 -0800,0.0747,Core Sleep
2026-01-13 00:28:49 -0800,2026-01-13 01:02:12 -0800,0.5564,Core Sleep
2026-01-13 01:02:12 -0800,2026-01-13 01:05:42 -0800,0.0583,Deep Sleep
